

*******************************************************************************
Ephemeris / WWW_USER Thu Feb 10 06:41:12 2022 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Voyager 2 (spacecraft) (-32)    {source: Voyager_2}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1977-Aug-21 00:00:00.0000 TDB
Stop  time      : A.D. 1997-Aug-22 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2443512.500000000, A.D. 1978-Jan-04 00:00:00.0000,  6.054898827733369E+07,  2.815746359953826E+08,  2.286463338282168E+07,
2443513.500000000, A.D. 1978-Jan-05 00:00:00.0000,  5.913064586352512E+07,  2.833031473718770E+08,  2.292430183372226E+07,
2443514.500000000, A.D. 1978-Jan-06 00:00:00.0000,  5.770994139610849E+07,  2.850202284248437E+08,  2.298304638101314E+07,
2443515.500000000, A.D. 1978-Jan-07 00:00:00.0000,  5.628696506718926E+07,  2.867259744997128E+08,  2.304087789499679E+07,
2443516.500000000, A.D. 1978-Jan-08 00:00:00.0000,  5.486180488147585E+07,  2.884204800708534E+08,  2.309780708526589E+07,
2443517.500000000, A.D. 1978-Jan-09 00:00:00.0000,  5.343454671286479E+07,  2.901038387392851E+08,  2.315384450308542E+07,
2443518.500000000, A.D. 1978-Jan-10 00:00:00.0000,  5.200527435950834E+07,  2.917761432311619E+08,  2.320900054376177E+07,
2443519.500000000, A.D. 1978-Jan-11 00:00:00.0000,  5.057406959740164E+07,  2.934374853969753E+08,  2.326328544899711E+07,
2443520.500000000, A.D. 1978-Jan-12 00:00:00.0000,  4.914101223252729E+07,  2.950879562114350E+08,  2.331670930922712E+07,
2443521.500000000, A.D. 1978-Jan-13 00:00:00.0000,  4.770618015159418E+07,  2.967276457739796E+08,  2.336928206594104E+07,
2443522.500000000, A.D. 1978-Jan-14 00:00:00.0000,  4.626964937140714E+07,  2.983566433098807E+08,  2.342101351398146E+07,
2443523.500000000, A.D. 1978-Jan-15 00:00:00.0000,  4.483149408691232E+07,  2.999750371718990E+08,  2.347191330382560E+07,
2443524.500000000, A.D. 1978-Jan-16 00:00:00.0000,  4.339178671789171E+07,  3.015829148424443E+08,  2.352199094383611E+07,
2443525.500000000, A.D. 1978-Jan-17 00:00:00.0000,  4.195059795449926E+07,  3.031803629362383E+08,  2.357125580250540E+07,
2443526.500000000, A.D. 1978-Jan-18 00:00:00.0000,  4.050799680145431E+07,  3.047674672033962E+08,  2.361971711066049E+07,
2443527.500000000, A.D. 1978-Jan-19 00:00:00.0000,  3.906405062109058E+07,  3.063443125329329E+08,  2.366738396365100E+07,
2443528.500000000, A.D. 1978-Jan-20 00:00:00.0000,  3.761882517522568E+07,  3.079109829566481E+08,  2.371426532351151E+07,
2443529.500000000, A.D. 1978-Jan-21 00:00:00.0000,  3.617238466589416E+07,  3.094675616533681E+08,  2.376037002109723E+07,
2443530.500000000, A.D. 1978-Jan-22 00:00:00.0000,  3.472479177497608E+07,  3.110141309535155E+08,  2.380570675819415E+07,
2443531.500000000, A.D. 1978-Jan-23 00:00:00.0000,  3.327610770275130E+07,  3.125507723439865E+08,  2.385028410960154E+07,
2443532.500000000, A.D. 1978-Jan-24 00:00:00.0000,  3.182639220540921E+07,  3.140775664733088E+08,  2.389411052518769E+07,
