

*******************************************************************************
Ephemeris / WWW_USER Thu Feb 10 06:53:56 2022 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Voyager 2 (spacecraft) (-32)    {source: Voyager_2}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1977-Aug-21 00:00:00.0000 TDB
Stop  time      : A.D. 1997-Aug-22 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of B1950.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2443533.500000000, A.D. 1978-Jan-25 00:00:00.0000,  3.422129940478224E+07,  3.152035198265181E+08,  2.390112193154174E+07,
2443534.500000000, A.D. 1978-Jan-26 00:00:00.0000,  3.278817993280382E+07,  3.167284482174555E+08,  2.394331330243430E+07,
2443535.500000000, A.D. 1978-Jan-27 00:00:00.0000,  3.135408289125555E+07,  3.182437774403237E+08,  2.398477945554814E+07,
2443536.500000000, A.D. 1978-Jan-28 00:00:00.0000,  2.991906355418150E+07,  3.197495841792895E+08,  2.402552835177684E+07,
2443537.500000000, A.D. 1978-Jan-29 00:00:00.0000,  2.848317591459229E+07,  3.212459443249370E+08,  2.406556783705042E+07,
2443538.500000000, A.D. 1978-Jan-30 00:00:00.0000,  2.704647271634679E+07,  3.227329329802877E+08,  2.410490564422336E+07,
2443539.500000000, A.D. 1978-Jan-31 00:00:00.0000,  2.560900548517856E+07,  3.242106244669806E+08,  2.414354939493492E+07,
2443540.500000000, A.D. 1978-Feb-01 00:00:00.0000,  2.417082455888356E+07,  3.256790923315790E+08,  2.418150660144199E+07,
2443541.500000000, A.D. 1978-Feb-02 00:00:00.0000,  2.273197911670445E+07,  3.271384093520272E+08,  2.421878466842230E+07,
2443542.500000000, A.D. 1978-Feb-03 00:00:00.0000,  2.129251720792740E+07,  3.285886475442239E+08,  2.425539089474946E+07,
2443543.500000000, A.D. 1978-Feb-04 00:00:00.0000,  1.985248577970977E+07,  3.300298781686943E+08,  2.429133247524115E+07,
2443544.500000000, A.D. 1978-Feb-05 00:00:00.0000,  1.841193070416113E+07,  3.314621717373484E+08,  2.432661650237931E+07,
2443545.500000000, A.D. 1978-Feb-06 00:00:00.0000,  1.697089680496671E+07,  3.328855980202763E+08,  2.436124996800436E+07,
2443546.500000000, A.D. 1978-Feb-07 00:00:00.0000,  1.552942788196875E+07,  3.343002260528295E+08,  2.439523976497805E+07,
2443547.500000000, A.D. 1978-Feb-08 00:00:00.0000,  1.408756673775753E+07,  3.357061241423351E+08,  2.442859268882592E+07,
2443548.500000000, A.D. 1978-Feb-09 00:00:00.0000,  1.264535520089531E+07,  3.371033598752944E+08,  2.446131543934563E+07,
2443549.500000000, A.D. 1978-Feb-10 00:00:00.0000,  1.120283414984838E+07,  3.384920001244069E+08,  2.449341462219250E+07,
2443550.500000000, A.D. 1978-Feb-11 00:00:00.0000,  9.760043536019085E+06,  3.398721110556684E+08,  2.452489675043790E+07,
2443551.500000000, A.D. 1978-Feb-12 00:00:00.0000,  8.317022406167199E+06,  3.412437581354965E+08,  2.455576824610163E+07,
2443552.500000000, A.D. 1978-Feb-13 00:00:00.0000,  6.873808924238071E+06,  3.426070061378731E+08,  2.458603544165915E+07,
