

*******************************************************************************
Ephemeris / WWW_USER Thu Feb 10 02:41:50 2022 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Voyager 2 (spacecraft) (-32)    {source: Voyager_2}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1977-Aug-21 00:00:00.0000 TDB
Stop  time      : A.D. 1997-Aug-22 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2443397.500000000, A.D. 1977-Sep-11 00:00:00.0000,  1.520769211782509E+08, -1.390910386890099E+07,  5.872815601005114E+06,  7.634209325119028E+00,  3.780802171550538E+01,  3.043664286951865E+00,
2443398.500000000, A.D. 1977-Sep-12 00:00:00.0000,  1.527153109259760E+08, -1.064079614618125E+07,  6.134953554270470E+06,  7.143625793079064E+00,  3.784544478329016E+01,  3.024228567560293E+00,
2443399.500000000, A.D. 1977-Sep-13 00:00:00.0000,  1.533113965355319E+08, -7.369720873807437E+06,  6.395382775570964E+06,  6.655014759193868E+00,  3.787210935646635E+01,  3.004115033042561E+00,
2443400.500000000, A.D. 1977-Sep-14 00:00:00.0000,  1.538653658390635E+08, -4.096801089917707E+06,  6.654045938759358E+06,  6.168776966576917E+00,  3.788816896964944E+01,  2.983352452617851E+00,
2443401.500000000, A.D. 1977-Sep-15 00:00:00.0000,  1.543774407003083E+08, -8.229457630182579E+05,  6.910888235824589E+06,  5.685299266173026E+00,  3.789379557380696E+01,  2.961970323798727E+00,
2443402.500000000, A.D. 1977-Sep-16 00:00:00.0000,  1.548478757708828E+08,  2.450951746515899E+06,  7.165857433774210E+06,  5.204953631771600E+00,  3.788917830863347E+01,  2.939998733083810E+00,
2443403.500000000, A.D. 1977-Sep-17 00:00:00.0000,  1.552769571667723E+08,  5.724015116861256E+06,  7.418903919644960E+06,  4.728096298132609E+00,  3.787452223012579E+01,  2.917468220585805E+00,
2443404.500000000, A.D. 1977-Sep-18 00:00:00.0000,  1.556650010757103E+08,  8.995386383691393E+06,  7.669980734002773E+06,  4.255067023131716E+00,  3.785004700444147E+01,  2.894409649038398E+00,
2443405.500000000, A.D. 1977-Sep-19 00:00:00.0000,  1.560123523061543E+08,  1.226422714521916E+07,  7.919043593332373E+06,  3.786188473515192E+00,  3.781598557925241E+01,  2.870854077686674E+00,
2443406.500000000, A.D. 1977-Sep-20 00:00:00.0000,  1.563193827884763E+08,  1.552971965187481E+07,  8.166050901761583E+06,  3.321765732601608E+00,  3.777258284366576E+01,  2.846832641543140E+00,
